view_slide_count,Quiz_count,Quiz_avg,Quiz_time_avg,Buoi_hoc,video_count,video_time,Diem_BT,GK
21,21,6.46,9.52,18,19,345,10,4.81
16,23,8.11,5.59,20,24,462,10,4.44
16,51,6.29,12.83,20,6,177,9,7.67
16,35,7.18,10.45,20,15,354,10,6.63
19,14,3.9,4.35,20,12,141,6.1,3.5
8,13,5.21,6.57,20,13,212,3,4.79
32,14,3.8,5.44,20,16,81,6.8,6.46
27,23,5.92,10.59,20,24,141,8.8,5.25
8,54,8,10.83,20,22,339,10,8.79
9,57,7.69,7.93,20,45,655,10,7.54
11,42,6.76,9.84,18,28,537,10,7.63
21,107,9.52,13.85,20,24,422,10,7.17
22,44,7.59,9.33,20,24,356,8,8.44
21,47,7.63,8.72,20,34,460,8.9,7.38
19,22,6.28,8.27,20,13,251,10,6.88
11,102,7.2,9.11,20,40,476,9,6.33
25,29,6.58,6.8,20,20,417,7.7,6.63
24,28,6.42,8.09,20,26,640,10,5.5
18,45,5.67,7.47,18,11,210,10,8.63
53,127,5.65,10.74,20,34,531,7.6,3.88
11,18,4.87,5.97,18,21,253,6,6.54
14,14,6.88,7.41,18,13,314,9,8.54
24,22,6.53,8.56,18,15,329,7.8,5.81
18,100,8.84,6.47,20,21,277,9.8,5.88
6,6,2.2,2.05,19,9,228,9,6.63
36,86,4.4,7.92,20,14,311,9,6.94
23,16,4.96,7.2,18,7,118,6.6,6.38
7,30,7.04,10.49,20,20,399,10,7.88
30,32,6.32,6,20,19,280,10,4.38
17,23,6.76,7.18,20,22,323,6,7.81
9,26,3.93,7.15,20,12,279,4.2,4.23
26,58,8.17,6.99,18,31,636,9,9
30,38,6.77,11.33,20,19,425,5,8.19
21,23,7.01,9.61,18,19,425,9.4,7.63
20,16,6.6,5.41,18,16,339,7.4,4.88
5,23,5.3,9.38,20,28,477,7,4.63
6,27,5.59,6.56,16,12,86,6.7,4.25
14,34,7.29,9.85,18,22,483,8,6.88
8,22,3.63,5.9,18,23,530,9.6,6.75
21,16,4.88,6.67,20,24,385,6.8,6.98
47,77,4.77,7.79,18,21,327,8,7.88
46,20,7.63,6.69,20,37,515,10,6.63
16,23,6.73,10.22,20,28,483,10,5
2,8,2.79,3.93,18,12,335,4.3,6.69
27,27,4.64,7.01,20,13,183,8,7.25
14,30,4.92,5.68,18,34,666,7,4.56
13,19,6.26,7.75,16,22,450,5.6,5.49
21,32,7.83,5.71,20,19,429,10,8.75
22,27,7.68,8.95,20,21,410,10,6.94
8,65,6.64,7.86,18,24,458,7,7.13
18,56,7.53,11.23,18,17,393,10,8.38
18,23,6.22,8.6,20,21,324,9.1,5.44
31,46,4.68,11.07,18,11,88,7.6,5.63
32,33,8.74,8.25,20,21,477,9,8
3,3,0.47,0.41,20,2,22,1,3.25
34,68,6.11,9.96,20,38,405,9.2,6.38
2,53,8.03,8.24,20,24,481,10,8.44
13,38,5.29,7.35,20,31,569,7,5.06
17,55,7.96,7.5,20,19,378,10,9.5
20,32,7.64,7.09,20,20,475,9.8,7.94
27,21,3.98,4.42,20,19,413,9.1,5.31
19,13,5.69,7.57,20,14,317,6.2,5.81
19,54,7.36,10.16,20,34,463,9,6.44
18,38,7.92,8.81,20,22,380,9.8,9.25
18,72,7.36,11.11,20,19,441,9.8,7.38
23,52,7.44,9.68,20,29,372,8.9,6.81
15,49,8.04,7.57,20,21,431,9.6,7.7
13,20,4.07,4.87,18,7,150,7.4,6.29
33,53,6.59,8.54,20,23,486,9,7.25
3,16,2.19,5.94,16,4,59,2,5.06
19,69,8.44,9.36,20,34,499,8,7.88
12,17,6.32,5.91,18,16,343,8,6.13
12,23,5.9,7.59,18,3,91,7,5.25
16,53,6.62,12.61,16,14,211,5,6.75
14,52,7.15,10.65,18,18,416,9,5.5
40,30,4.88,4.6,20,24,471,8.6,4.19
18,34,7.02,10.63,18,31,354,9,8
15,7,3.6,5.18,16,7,159,4.6,4.44
13,22,6.62,9.86,20,13,285,8,7.88
21,35,8.13,7.48,20,13,245,7,7.19
38,69,7.86,5.79,20,21,370,8,8.38
3,6,2.53,1.87,16,7,119,4.6,4.06
11,51,8.58,5.69,20,35,620,10,8.63
19,45,9.04,8.15,20,31,478,10,9.25
15,31,8.37,8.02,20,23,512,10,8.63
13,1,0.73,0.91,18,12,255,0,6.44
27,27,7.78,6.98,18,21,447,9,8.75
8,69,9.01,10.61,20,33,524,10,7.88
36,60,8.95,7.49,20,19,396,10,7.38
16,21,7.1,10.73,18,19,318,10,7
21,53,7.62,5.64,20,15,194,10,7.44
30,71,7.77,7.31,20,17,308,9.8,8.5
20,54,6.7,8.52,20,25,280,6.7,7.75
47,54,7.03,10.18,20,36,796,9,8.13
14,13,5.79,6.49,20,16,283,5,6.56
6,25,7.18,7.41,20,18,320,8.6,7.31
9,12,6.64,5.73,16,11,289,6.6,6.88
18,18,6.84,6.29,18,15,102,9.2,6
19,29,7.67,6.78,20,18,173,9,8.94
21,24,6.69,5.01,20,18,229,8,6.06
9,39,7.76,8.25,20,27,477,9.6,9.25
15,53,7.58,10.63,20,27,597,9,7.88
17,29,6.5,7.9,20,22,384,10,8.38
31,30,6.05,8.66,19,25,145,7.7,7.56
8,11,3.19,4.94,18,9,195,0,4
8,225,8.74,8.39,20,12,140,8,8.75
11,84,8.36,6.83,20,21,413,10,8
8,17,4.51,4.43,18,14,320,5,3.83
23,40,6.64,10.39,18,22,422,8.5,7.38
20,29,7.14,6.68,20,38,612,8.6,7
22,98,6.99,11.57,18,24,396,7.8,7.63
21,21,7.96,8.4,20,18,294,8,5.42
23,62,9.3,8.59,20,19,446,9.6,8.13
29,75,8.12,8.43,20,16,315,8,7.56
15,18,4,4.67,17,18,337,5.1,4.63
14,25,7.27,5.4,20,23,339,10,6.88
25,55,5.71,9.3,16,24,516,8.2,8.42
18,25,5.94,9.84,16,21,255,7,6.17
20,15,3.4,5.6,20,9,165,5.9,5.44
7,31,7.01,10.68,20,28,581,8.1,6.09
3,16,5.39,6.25,16,16,190,7.1,5.06
11,33,7.63,7.01,19,21,405,9.8,8.63
2,9,2.53,3.88,17,13,332,0,3.63
26,23,3.09,3.42,16,28,439,4.6,3.5
12,20,1.86,2.3,16,12,276,3.4,4.94
